seed,rate,policy,dataset_size,benchmark,cache0_hits,cache0_misses,cache0_writebacks,clock_cycles,cache0_ID,cache1_hits,cache1_misses,cache1_writebacks,cache1_expired_leases,cache1_multi_expired,cache1_default_renewals,cache1_default_misses,cache1_random_evicts,cache1_ID
1,256,SHEL,small,doitgen,4775638,9,0,4809589,4,1394072,930,926,930,930,2,1,0,8
1,256,SHEL,small,durbin,172786,22,0,174128,4,50013,15,0,0,0,1861,8,0,8
1,256,SHEL,small,fdtd-2d,8174705,14,0,10838129,4,2576343,70629,35188,69652,65730,372,40,977,8
1,256,SHEL,small,floyd-warshall,88099074,5,0,100367515,4,17510009,345133,319978,343285,315705,0,0,1848,8
1,256,SHEL,small,gemm,4104433,6,0,4645529,4,1337373,15029,492,14415,12420,2,1,614,8
1,256,SHEL,small,gemver,537416,11,0,666893,4,169847,3555,973,2245,1067,122,10,1310,8
1,256,SHEL,small,gesummv,139151,4,0,181691,4,64225,937,26,937,937,182,10,0,8
1,256,SHEL,small,gramschmidt,4839793,14,0,5656651,4,1327935,18465,15732,11904,4718,0,0,6561,8
1,256,SHEL,small,heat-3d,13754691,13,0,16250452,4,3663875,68607,33135,65216,52432,2,0,3391,8
1,256,SHEL,small,jacobi-1d,2173065,133,0,2206490,4,311677,3,0,0,0,4,1,0,8
1,256,SHEL,small,jacobi-2d,12454771,8,0,15063922,4,3644360,72761,39012,69883,57496,1,0,2878,8
1,256,SHEL,small,lu,5862837,7,0,7441811,4,1691439,43581,1060,31161,23929,238,132,12420,8
1,256,SHEL,small,ludcmp,5458470,13,0,7099023,4,1157671,45307,1305,32637,25641,719,414,12670,8
1,256,SHEL,small,mvt,290196,5,0,376122,4,84273,2367,173,1736,1034,120,7,631,8
1,256,SHEL,small,nussinov,16076574,15,0,23069672,4,2843779,168434,2103,60677,46689,2,1,107757,8
1,256,SHEL,small,seidel-2d,9643209,8,0,11070944,4,2280994,31807,31246,31640,30758,1,0,167,8
1,256,SHEL,small,symm,2386248,7,0,3423510,4,846794,22008,11218,11374,5227,2,0,10634,8
1,256,SHEL,small,syr2k,3573954,6,0,6338460,4,1101104,71778,2263,15594,10986,2,0,56184,8
1,256,SHEL,small,syrk,2397877,4,0,2720173,4,775046,9036,518,5380,3806,2,0,3656,8
1,256,SHEL,small,trisolv,73319,4,0,91660,4,21391,509,8,509,509,123,64,0,8
1,256,SHEL,small,trmm,1488447,6,0,1929644,4,422110,12291,398,3731,1460,1,0,8560,8
1,256,PRL,small,2mm,3195740,8,0,3780461,4,892014,16388,459,15204,13462,2,2,1184,8
1,256,PRL,small,3mm,5483911,11,0,6542208,4,1598638,29662,641,29228,28577,0,0,434,8
1,256,PRL,small,adi,9656304,15,0,13645122,4,2609504,104908,70113,62742,50424,12,0,42166,8
1,256,PRL,small,atax,304227,7,0,334129,4,99987,825,29,825,825,93,7,0,8
1,256,PRL,small,bicg,246306,5,0,291189,4,114477,835,23,835,835,87,7,0,8
1,256,PRL,small,cholesky,2966629,8,0,3578752,4,861355,17105,630,17105,17105,478,290,0,8
1,256,PRL,small,correlation,3782328,16,0,11940324,4,805497,229310,4232,198037,131313,168,10,31273,8
1,256,PRL,small,covariance,3755750,10,0,12558281,4,774246,247636,4559,177958,84424,82,6,69678,8
1,256,PRL,small,deriche,2074963,19,0,6358632,4,287368,105864,48887,85528,65287,16,4,20336,8
1,256,PRL,small,doitgen,4775638,9,0,4809578,4,1394072,930,926,930,930,2,1,0,8
1,256,PRL,small,durbin,172786,22,0,174125,4,50013,15,0,0,0,1861,8,0,8
1,256,PRL,small,fdtd-2d,8164867,8,0,10912690,4,2565171,73471,35644,66059,58599,2,0,7412,8
1,256,PRL,small,floyd-warshall,88097446,5,0,100363519,4,17508659,344855,319801,344849,344760,0,0,6,8
1,256,PRL,small,gemm,4104433,6,0,4658152,4,1337015,15387,462,15387,15387,2,1,0,8
1,256,PRL,small,gemver,537492,11,0,680054,4,169456,3946,981,2486,1804,122,10,1460,8
1,256,PRL,small,gesummv,139151,4,0,181691,4,64225,937,26,937,937,182,10,0,8
1,256,PRL,small,gramschmidt,4839793,14,0,5615598,4,1329115,17285,15390,12757,7197,0,0,4528,8
1,256,PRL,small,heat-3d,13753576,11,0,16276650,4,3662675,69807,32996,66409,58483,2,0,3398,8
1,256,PRL,small,jacobi-1d,2173065,133,0,2206509,4,311677,3,0,0,0,4,1,0,8
1,256,PRL,small,jacobi-2d,12453890,9,0,15159008,4,3641471,75650,39572,69707,57623,1,0,5943,8
1,256,PRL,small,lu,5859951,6,0,7251354,4,1695974,39046,991,32715,26963,238,129,6331,8
1,256,PRL,small,ludcmp,5455574,10,0,6823394,4,1164338,38402,1047,34920,30396,362,169,3482,8
1,256,PRL,small,mvt,290175,4,0,366883,4,84522,2118,136,2117,2094,120,6,1,8
1,256,PRL,small,nussinov,16076574,15,0,22727098,4,2853336,158877,1938,75051,59077,2,1,83826,8
1,256,PRL,small,seidel-2d,9643209,8,0,11067669,4,2281053,31748,31202,31745,31718,1,0,3,8
1,256,PRL,small,symm,2386248,7,0,3246009,4,851546,17256,8740,15405,8340,2,0,1851,8
1,256,PRL,small,syr2k,3573954,6,0,6135286,4,1106419,66463,935,54182,44375,2,0,12281,8
1,256,PRL,small,syrk,2397877,4,0,2646581,4,777101,6981,414,6766,6350,2,0,215,8
1,256,PRL,small,trisolv,73319,4,0,91653,4,21391,509,8,509,509,123,64,0,8
1,256,PRL,small,trmm,1488447,6,0,1758589,4,426882,7519,341,6623,4975,1,0,896,8
1,512,SHEL,small,2mm,3195761,9,0,3825653,4,890753,17649,497,11291,7110,2,2,6358,8
1,512,SHEL,small,3mm,5483943,12,0,6581357,4,1597587,30713,699,23486,12668,0,0,7227,8
