seed,rate,num_ways,cache_size,policy,dataset_Size,benchmark_name,predicted_misses
2,512,512,512,CLAM,medium,syr2k,729183
2,512,512,512,CLAM,medium,cholesky,592352
2,512,512,512,CLAM,medium,atax,8771
2,512,512,512,CLAM,medium,gemver,32261
2,512,512,512,CLAM,medium,gemm,568253
2,512,512,512,CLAM,medium,jacobi-2d,1471968
2,512,512,512,CLAM,medium,jacobi-1d,2146
2,512,512,512,CLAM,medium,mvt,21182
2,512,512,512,CLAM,medium,heat-3d,1485574
2,512,512,512,CLAM,medium,trmm,264868
2,512,512,512,CLAM,medium,covariance,466453
2,512,512,512,CLAM,medium,correlation,511450
2,512,512,512,CLAM,medium,trisolv,4733
2,512,512,512,CLAM,medium,ludcmp,1308091
2,512,512,512,CLAM,medium,bicg,13613
2,512,512,512,CLAM,medium,lu,1251829
2,512,512,512,CLAM,medium,seidel-2d,996717
2,512,512,512,CLAM,medium,gesummv,7099
2,512,512,512,CLAM,medium,floyd-warshall,7632435
2,512,512,512,CLAM,medium,doitgen,10287
2,1024,512,512,CLAM,small,deriche,15063
2,1024,512,512,CLAM,small,fdtd-2d,28660
2,1024,512,512,CLAM,small,syrk,3375
2,1024,512,512,CLAM,small,nussinov,32012
2,1024,512,512,CLAM,small,durbin,37
2,1024,512,512,CLAM,small,2mm,3315
2,1024,512,512,CLAM,small,gramschmidt,5312
2,1024,512,512,CLAM,small,3mm,8585
2,1024,512,512,CLAM,small,adi,36105
2,1024,512,512,CLAM,small,symm,2680
2,1024,512,512,CLAM,small,syr2k,5142
2,1024,512,512,CLAM,small,cholesky,1334
2,1024,512,512,CLAM,small,atax,617
2,1024,512,512,CLAM,small,gemver,1261
2,1024,512,512,CLAM,small,gemm,2684
2,1024,512,512,CLAM,small,jacobi-2d,34055
2,1024,512,512,CLAM,small,jacobi-1d,850
2,1024,512,512,CLAM,small,mvt,1525
2,1024,512,512,CLAM,small,heat-3d,39126
2,1024,512,512,CLAM,small,trmm,97
