seed,rate,policy,dataset_size,benchmark,cache0_hits,cache0_misses,cache0_writebacks,clock_cycles,cache0_ID,cache1_hits,cache1_misses,cache1_writebacks,cache1_ID,cacheL2_hits,cacheL2_misses,cacheL2_writebacks,cacheL2_expired_leases,cacheL2_multi_expired,cacheL2_default_renewals,cacheL2_default_misses,cacheL2_random_evicts,cacheL2_ID
1,128,CLAM,small,doitgen,4775640,7,0,5,33554436,1392468,2534,1219,33554436,2939,821,678,821,821,3,3,0,8
1,128,CLAM,small,durbin,172785,23,0,5,33554436,50013,15,1,33554436,2,37,0,0,0,24,23,0,8
1,128,CLAM,small,fdtd-2d,8164866,9,0,5,33554436,2031081,607561,210504,33554436,770335,47739,30782,32060,25002,0,0,15679,8
1,128,CLAM,small,floyd-warshall,88117845,4,0,5,33554436,17509793,364119,347420,33554436,393797,317746,295940,314354,235599,2,2,3392,8
1,128,CLAM,small,gemm,4104433,6,0,5,33554436,1330417,21985,541,33554436,21951,581,311,581,581,1,1,0,8
1,128,CLAM,small,gemver,537491,12,0,5,33554436,159366,14036,1320,33554436,13252,2116,1060,1619,1446,118,89,497,8
1,128,CLAM,small,gesummv,139151,4,0,5,33554436,60321,4841,3200,33554436,7427,618,56,618,618,15,1,0,8
1,128,CLAM,small,gramschmidt,4839797,10,0,5,33554436,1315642,30758,20906,33554436,50832,842,708,842,842,201,128,0,8
1,128,CLAM,small,heat-3d,13753576,11,0,5,33554436,3659681,72801,33210,33554436,60364,45658,28049,31586,28593,44,29,14072,8
1,128,CLAM,small,jacobi-1d,2171357,1841,0,5,33554436,311677,3,0,33554436,1747,97,0,0,0,3,3,0,8
1,128,CLAM,small,jacobi-2d,12453890,9,0,5,33554436,3636880,80241,39750,33554436,60177,59823,37621,36991,35102,116,33,22832,8
1,128,CLAM,small,lu,5859950,7,0,5,33554436,1664420,70600,958,33554436,69204,2361,1112,1398,957,2,2,963,8
1,128,CLAM,small,ludcmp,5455572,12,0,5,33554436,1131076,71664,982,33554436,69749,2909,1134,1810,1484,119,114,1099,8
1,128,CLAM,small,mvt,290175,4,0,5,33554436,82307,4333,205,33554436,3246,1296,429,1161,996,8,8,135,8
1,128,CLAM,small,nussinov,16076703,15,0,5,33554436,2725419,286794,1271,33554436,249050,39030,1568,30679,27334,3,3,8351,8
1,128,CLAM,small,seidel-2d,9643209,8,0,5,33554436,2276800,36001,35447,33554436,49002,22454,21837,22408,21317,45,45,46,8
1,128,CLAM,small,symm,2386248,7,0,5,33554436,829607,39195,15814,33554436,52907,2109,1259,960,621,1,1,1149,8
1,128,CLAM,small,syr2k,3573954,6,0,5,33554436,851842,321040,10335,33554436,328196,3185,737,1047,670,0,0,2138,8
1,128,CLAM,small,syrk,2397877,4,0,5,33554436,694540,89542,3067,33554436,92255,358,213,358,358,272,101,0,8
1,128,CLAM,small,trisolv,73319,4,0,5,33554436,21341,559,128,33554436,464,227,126,217,202,31,11,10,8
1,128,CLAM,small,trmm,1488447,6,0,5,33554436,326160,108241,324,33554436,108475,96,51,96,96,2,2,0,8
1,128,C-SHEL,small,2mm,3195759,11,0,5,33554436,874474,33928,577,33554436,33374,1142,554,1121,1102,1,0,21,8
1,128,C-SHEL,small,3mm,5483944,11,0,5,33554436,1565843,62457,912,33554436,61513,1867,864,1777,1737,31,3,90,8
1,128,C-SHEL,small,adi,9657654,15,0,5,33554436,1602133,1112559,563908,33554436,1631170,45312,40450,32357,27770,243,125,12804,8
1,128,C-SHEL,small,correlation,3782371,17,0,5,33554436,557187,477620,4194,33554436,477660,4171,1352,1015,765,338,68,3156,8
1,128,C-SHEL,small,covariance,3755782,11,0,5,33554436,545486,476396,4030,33554436,476388,4049,1276,762,465,9,7,3287,8
1,128,C-SHEL,small,deriche,2075033,19,0,5,33554436,141447,251789,101442,33554436,332221,21029,9640,19947,17646,21,14,1082,8
1,128,C-SHEL,small,fdtd-2d,8174705,14,0,5,33554436,2038811,608161,210546,33554436,772450,46271,30796,40959,34263,246,244,5312,8
1,128,C-SHEL,small,gemver,537417,10,0,5,33554436,159366,14036,1320,33554436,13421,1945,841,1945,1945,67,35,0,8
1,128,C-SHEL,small,heat-3d,13754691,13,0,5,33554436,3659681,72801,33210,33554436,58958,47066,28958,32989,30626,48,27,14077,8
1,128,C-SHEL,small,jacobi-2d,12454770,9,0,5,33554436,3636880,80241,39750,33554436,69453,50547,34136,42805,34247,126,53,7742,8
1,128,C-SHEL,small,lu,5862837,7,0,5,33554436,1664420,70600,958,33554436,69254,2311,1098,1394,974,0,0,917,8
1,128,C-SHEL,small,ludcmp,5458469,14,0,5,33554436,1131194,71784,1085,33554436,56919,15964,1037,15964,15964,651,588,0,8
1,128,C-SHEL,small,mvt,290196,5,0,5,33554436,82307,4333,205,33554436,3211,1332,437,1246,1180,36,10,86,8
1,128,PRL,small,2mm,3195741,7,0,5,33554436,874474,33928,577,33554436,33481,1031,560,1031,1031,178,128,0,8
1,128,PRL,small,3mm,5483912,10,0,5,33554436,1565843,62457,912,33554436,61398,1981,875,1981,1981,175,175,0,8
1,128,PRL,small,adi,9656304,15,0,5,33554436,1601973,1112439,563907,33554436,1630695,45666,40814,33084,28259,41,1,12428,8
1,128,PRL,small,atax,304227,7,0,5,33554436,99090,1722,497,33554436,1687,539,72,539,539,78,2,0,8
