seed,rate,policy,dataset_size,benchmark,cache0_hits,cache0_misses,cache0_writebacks,clock_cycles,cache0_ID,cache1_hits,cache1_misses,cache1_writebacks,cache1_ID,cacheL2_hits,cacheL2_misses,cacheL2_writebacks,cacheL2_expired_leases,cacheL2_multi_expired,cacheL2_default_renewals,cacheL2_default_misses,cacheL2_random_evicts,cacheL2_ID
1,128,CLAM,medium,trisolv,804399,4,0,5,33554436,235673,5327,128,33554436,630,4829,43,4829,4829,31,26,0,8
1,128,CLAM,medium,trmm,48382473,6,0,5,33554436,6283866,8140135,3727,33554436,7831115,312753,3073,231510,209876,0,0,81243,8
1,128,C-SHEL,medium,2mm,155021443,8,0,5,33554436,30495159,13736243,8672,33554436,12895326,849597,5213,834614,708895,2,2,14983,8
1,128,C-SHEL,medium,3mm,229121807,11,0,5,33554436,47020559,21491341,13518,33554436,20193005,1311865,7662,1287873,936411,1,1,23992,8
1,128,C-SHEL,medium,adi,279224115,14,0,5,33554436,45461609,33145103,16440177,33554436,47216761,2368533,1635343,1857787,1664462,405,304,510746,8
1,128,C-SHEL,medium,correlation,84441091,17,0,5,33554436,8441704,14611503,35855,33554436,13693256,954119,35073,477395,63407,40,39,476724,8
1,128,C-SHEL,medium,covariance,84246181,12,0,5,33554436,8351912,14604930,34641,33554436,13676585,962998,35030,460175,61750,20,19,502823,8
1,128,C-SHEL,medium,deriche,29070094,18,0,5,33554436,1987214,3542406,1425666,33554436,3727640,1240450,492094,1237544,1088150,20,15,2906,8
1,128,C-SHEL,medium,fdtd-2d,205772724,15,0,5,33554436,51389411,15484001,5356266,33554436,18800750,2039532,904052,1984775,1555373,8,7,54757,8
1,128,C-SHEL,medium,gemver,5935258,10,0,5,33554436,1684951,237051,12763,33554436,219100,30724,10583,29808,28241,191,83,916,8
1,128,C-SHEL,medium,heat-3d,322399505,16,0,5,33554436,84846501,2952601,729800,33554436,2168165,1514252,729869,1482185,1159129,108,48,32067,8
1,128,C-SHEL,medium,jacobi-2d,246464909,10,0,5,33554436,72248200,1556601,775280,33554436,824599,1507292,774626,1459002,1080043,98,0,48290,8
1,128,C-SHEL,medium,lu,214459195,10,0,5,33554436,47852917,16226483,10042,33554436,14693233,1543302,10259,895086,867136,399,399,648216,8
1,128,C-SHEL,medium,ludcmp,194887567,17,0,5,33554436,26910113,16318485,86404,33554436,14845985,1558921,11158,911940,872754,125,121,646981,8
1,128,C-SHEL,medium,mvt,3207236,5,0,5,33554436,780124,180676,399,33554436,161041,20039,588,19711,19660,26,26,328,8
1,128,PRL,medium,2mm,155021420,9,0,5,33554436,30495159,13736243,8672,33554436,12861925,882999,5240,879731,872182,1,1,3268,8
1,128,PRL,medium,3mm,229121775,10,0,5,33554436,47020559,21491341,13518,33554436,20162968,1341901,7713,1333853,1213065,0,0,8048,8
1,128,PRL,medium,adi,279220724,15,0,5,33554436,45461209,33144803,16440176,33554436,46903978,2681016,1771416,1695466,1230276,4,3,985550,8
1,128,PRL,medium,atax,3365102,10,0,5,33554436,1096464,23252,6359,33554436,19682,9939,160,9939,9939,96,31,0,8
1,128,PRL,medium,bicg,2724139,7,0,5,33554436,1228118,51888,20760,33554436,62638,10017,392,10017,10017,2,2,0,8
1,128,PRL,medium,cholesky,107626426,11,0,5,33554436,31453943,706257,5244,33554436,78532,632980,5463,632880,625078,32,29,100,8
1,128,PRL,medium,correlation,84441048,16,0,5,33554436,8441704,14611503,35855,33554436,13878146,769228,35067,709029,95714,39,38,60199,8
1,128,PRL,medium,covariance,84246150,10,0,5,33554436,8351912,14604930,34641,33554436,13850358,789223,35024,662584,79219,3,2,126639,8
1,128,PRL,medium,deriche,29070024,18,0,5,33554436,1987212,3542404,1425664,33554436,3665896,1302190,554276,1114547,750747,16,13,187643,8
